mathnorm,s_class,s_school,enrollment,classsize,female,class_id
-.3643161,.5,.4375,64,24,0,6
.075955,.5,.4375,64,24,1,6
.1807815,.5,.4375,64,24,1,6
-1.181962,.5,.4375,64,24,0,6
-.6578302,.5,.4375,64,24,0,6
-.8674831,.5,.4375,64,24,1,6
-.4691426,.7692308,.5740741,54,13,1,7
-.6578302,.7692308,.5740741,54,13,1,7
-1.077136,.7692308,.5740741,54,13,0,7
1.061324,.7692308,.5740741,54,13,1,7
-.6578302,.7692308,.5740741,54,13,1,7
-.7626567,.7692308,.5740741,54,13,1,7
-.8674831,.7692308,.5740741,54,13,1,7
-.8674831,.7692308,.5740741,54,13,1,7
-.6578302,.7692308,.5740741,54,13,0,7
-.7626567,.7692308,.5740741,54,13,0,7
.7258791,.7692308,.5740741,54,13,1,7
-.1546632,.7692308,.5740741,54,13,1,7
-.2594897,.7692308,.5740741,54,13,1,7
-1.077136,.5,.5740741,54,18,1,8
-.1546632,.5,.5740741,54,18,0,8
-.9723096,.5,.5740741,54,18,1,8
-1.307754,.5,.5740741,54,18,0,8
.075955,.5,.5740741,54,18,0,8
.7258791,.5,.5740741,54,18,0,8
-1.538373,.5,.5740741,54,18,1,8
.075955,.5,.5740741,54,18,1,8
-.8674831,.5,.5740741,54,18,0,8
1.543525,.5,.5740741,54,18,1,8
.8936014,.5,.5740741,54,18,0,8
-.6578302,.5,.5740741,54,18,0,8
-.4691426,.5,.5740741,54,18,0,8
-.0288714,.5,.5740741,54,18,1,8
-.6578302,.5,.5740741,54,18,1,8
-1.077136,.5,.5740741,54,18,0,8
-.5530037,.5,.5740741,54,18,1,8
-.5530037,.5,.5740741,54,18,1,8
.1807815,.5217391,.5740741,54,23,0,9
-.4691426,.5217391,.5740741,54,23,0,9
-1.077136,.5217391,.5740741,54,23,1,9
-.5530037,.5217391,.5740741,54,23,0,9
.075955,.5217391,.5740741,54,23,1,9
-.1546632,.5217391,.5740741,54,23,1,9
.8936014,.5217391,.5740741,54,23,1,9
.7258791,.5217391,.5740741,54,23,1,9
-1.412581,.5217391,.5740741,54,23,0,9
-.1546632,.5217391,.5740741,54,23,1,9
-.1546632,.5217391,.5740741,54,23,1,9
.1807815,.5217391,.5740741,54,23,0,9
-.5530037,.5217391,.5740741,54,23,0,9
-.1546632,.5217391,.5740741,54,23,1,9
-.7626567,.5217391,.5740741,54,23,0,9
-.0288714,.5217391,.5740741,54,23,0,9
-.0288714,.5217391,.5740741,54,23,1,9
-2.125401,.5217391,.5740741,54,23,0,9
.075955,.5217391,.5740741,54,23,0,9
.3065732,.5217391,.5740741,54,23,1,9
1.291942,.5217391,.5740741,54,23,1,9
-.6578302,.5217391,.5740741,54,23,1,9
-1.307754,.5217391,.5740741,54,23,0,9
-.8674831,.5384616,.4166667,60,13,1,10
-.3643161,.5384616,.4166667,60,13,1,10
-.6578302,.5384616,.4166667,60,13,1,10
-.4691426,.5384616,.4166667,60,13,0,10
-.2594897,.5384616,.4166667,60,13,0,10
-.9723096,.5384616,.4166667,60,13,1,10
.5791221,.5384616,.4166667,60,13,1,10
-.7626567,.5384616,.4166667,60,13,1,10
.075955,.5384616,.4166667,60,13,0,10
.432365,.5384616,.4166667,60,13,0,10
-.4691426,.5384616,.4166667,60,13,1,10
-.9723096,.5384616,.4166667,60,13,0,10
-.0288714,.5384616,.4166667,60,13,0,10
-.7626567,.4782609,.4166667,60,23,0,11
.5791221,.4782609,.4166667,60,23,0,11
-.8674831,.4782609,.4166667,60,23,0,11
-.8674831,.4782609,.4166667,60,23,1,11
-.0288714,.4782609,.4166667,60,23,1,11
-.3643161,.4782609,.4166667,60,23,0,11
.075955,.4782609,.4166667,60,23,1,11
.3065732,.4782609,.4166667,60,23,1,11
-.0288714,.4782609,.4166667,60,23,0,11
.3065732,.4782609,.4166667,60,23,1,11
-1.810921,.4782609,.4166667,60,23,0,11
-.9723096,.4782609,.4166667,60,23,1,11
-.3643161,.4782609,.4166667,60,23,1,11
-.5530037,.4782609,.4166667,60,23,0,11
-1.412581,.4782609,.4166667,60,23,1,11
-1.077136,.4782609,.4166667,60,23,0,11
-.2594897,.4782609,.4166667,60,23,1,11
-.6578302,.4782609,.4166667,60,23,0,11
-.2594897,.4782609,.4166667,60,23,0,11
-.3643161,.4782609,.4166667,60,23,0,11
.432365,.4782609,.4166667,60,23,1,11
-.4691426,.4782609,.4166667,60,23,1,11
-.7626567,.2916667,.4166667,60,24,0,12
-.5530037,.2916667,.4166667,60,24,0,12
.432365,.2916667,.4166667,60,24,0,12
.5791221,.2916667,.4166667,60,24,0,12
-.9723096,.2916667,.4166667,60,24,1,12
.1807815,.2916667,.4166667,60,24,0,12
-.9723096,.2916667,.4166667,60,24,0,12
.3065732,.2916667,.4166667,60,24,1,12
-.5530037,.2916667,.4166667,60,24,0,12
.5791221,.2916667,.4166667,60,24,0,12
-.7626567,.2916667,.4166667,60,24,0,12
.075955,.2916667,.4166667,60,24,0,12
-1.412581,.2916667,.4166667,60,24,1,12
.5791221,.2916667,.4166667,60,24,0,12
-.3643161,.2916667,.4166667,60,24,0,12
-.6578302,.2916667,.4166667,60,24,1,12
-.6578302,.2916667,.4166667,60,24,0,12
-.9723096,.2916667,.4166667,60,24,1,12
-.0288714,.2916667,.4166667,60,24,1,12
.8936014,.2916667,.4166667,60,24,0,12
-.8674831,.2916667,.4166667,60,24,1,12
-1.181962,.2916667,.4166667,60,24,0,12
-.2594897,.2916667,.4166667,60,24,0,12
-1.957678,.5,.5081967,61,24,0,13
-.9723096,.5,.5081967,61,24,0,13
-.9723096,.5,.5081967,61,24,1,13
-.8674831,.5,.5081967,61,24,0,13
.432365,.5,.5081967,61,24,0,13
-1.68513,.5,.5081967,61,24,1,13
-1.077136,.5,.5081967,61,24,1,13
-.6578302,.5,.5081967,61,24,0,13
-.4691426,.5,.5081967,61,24,1,13
-1.538373,.5,.5081967,61,24,1,13
-1.181962,.5,.5081967,61,24,0,13
-1.181962,.5,.5081967,61,24,1,13
-.6578302,.5,.5081967,61,24,1,13
-1.307754,.5,.5081967,61,24,0,13
-.9723096,.5,.5081967,61,24,1,13
-1.538373,.5,.5081967,61,24,1,13
-1.957678,.5,.5081967,61,24,0,13
-1.307754,.5,.5081967,61,24,1,13
-.9723096,.5,.5081967,61,24,1,13
-.9723096,.5,.5081967,61,24,0,13
-1.810921,.5,.5081967,61,24,0,13
-.8674831,.5,.5081967,61,24,1,13
-.9723096,.5,.5081967,61,24,0,13
-.4691426,.5714286,.5081967,61,21,1,14
-.9723096,.5714286,.5081967,61,21,1,14
-.5530037,.5714286,.5081967,61,21,1,14
-.1546632,.5714286,.5081967,61,21,0,14
.5791221,.5714286,.5081967,61,21,0,14
-.8674831,.5714286,.5081967,61,21,0,14
-.1546632,.5714286,.5081967,61,21,1,14
-1.412581,.5714286,.5081967,61,21,1,14
.075955,.5714286,.5081967,61,21,1,14
-.5530037,.5714286,.5081967,61,21,1,14
.8936014,.5714286,.5081967,61,21,0,14
.432365,.5714286,.5081967,61,21,0,14
-1.538373,.5714286,.5081967,61,21,0,14
-1.810921,.5714286,.5081967,61,21,1,14
.5791221,.5714286,.5081967,61,21,1,14
.075955,.5714286,.5081967,61,21,1,14
-1.538373,.5714286,.5081967,61,21,1,14
-.2594897,.5714286,.5081967,61,21,1,14
-.8674831,.5714286,.5081967,61,21,0,14
-.3643161,.5714286,.5081967,61,21,0,14
-.0288714,.5714286,.5081967,61,21,0,14
-1.077136,.4375,.5081967,61,16,1,15
1.899935,.4375,.5081967,61,16,1,15
-.5530037,.4375,.5081967,61,16,0,15
-.4691426,.4375,.5081967,61,16,0,15
-1.538373,.4375,.5081967,61,16,0,15
.075955,.4375,.5081967,61,16,0,15
.7258791,.4375,.5081967,61,16,0,15
-.2594897,.4375,.5081967,61,16,1,15
-.9723096,.4375,.5081967,61,16,0,15
.432365,.4375,.5081967,61,16,0,15
.1807815,.4375,.5081967,61,16,1,15
1.543525,.4375,.5081967,61,16,1,15
.3065732,.4375,.5081967,61,16,1,15
-.1546632,.4375,.5081967,61,16,0,15
2.9482,.4375,.5081967,61,16,0,15
-.1546632,.55,.4583333,72,20,1,16
-.6578302,.55,.4583333,72,20,1,16
.8936014,.55,.4583333,72,20,1,16
-.2594897,.55,.4583333,72,20,0,16
.1807815,.55,.4583333,72,20,0,16
-1.957678,.55,.4583333,72,20,0,16
-1.412581,.55,.4583333,72,20,1,16
.7258791,.55,.4583333,72,20,0,16
-.0288714,.55,.4583333,72,20,1,16
.075955,.55,.4583333,72,20,0,16
-.0288714,.55,.4583333,72,20,0,16
.8936014,.55,.4583333,72,20,0,16
.3065732,.55,.4583333,72,20,1,16
.7258791,.55,.4583333,72,20,1,16
-.4691426,.55,.4583333,72,20,0,16
-.3643161,.55,.4583333,72,20,0,16
-.7626567,.55,.4583333,72,20,1,16
.7258791,.55,.4583333,72,20,1,16
.5791221,.55,.4583333,72,20,1,16
-.5530037,.55,.4583333,72,20,1,16
2.445033,.3846154,.4583333,72,13,0,17
.8936014,.3846154,.4583333,72,13,1,17
.3065732,.3846154,.4583333,72,13,0,17
.075955,.3846154,.4583333,72,13,0,17
-.5530037,.3846154,.4583333,72,13,1,17
.8936014,.3846154,.4583333,72,13,0,17
-.4691426,.3846154,.4583333,72,13,1,17
-.8674831,.3846154,.4583333,72,13,0,17
-.0288714,.3846154,.4583333,72,13,0,17
-.0288714,.3846154,.4583333,72,13,1,17
-.1546632,.3846154,.4583333,72,13,0,17
-.9723096,.3846154,.4583333,72,13,0,17
-.7626567,.3846154,.4583333,72,13,1,17
-.2594897,.5454546,.4583333,72,22,0,18
.8936014,.5454546,.4583333,72,22,1,18
.8936014,.5454546,.4583333,72,22,0,18
-.8674831,.5454546,.4583333,72,22,0,18
-.1546632,.5454546,.4583333,72,22,1,18
-1.412581,.5454546,.4583333,72,22,0,18
.3065732,.5454546,.4583333,72,22,1,18
-1.68513,.5454546,.4583333,72,22,1,18
-.0288714,.5454546,.4583333,72,22,1,18
-.3643161,.5454546,.4583333,72,22,1,18
-1.077136,.5454546,.4583333,72,22,0,18
1.543525,.5454546,.4583333,72,22,1,18
-.5530037,.5454546,.4583333,72,22,1,18
.075955,.5454546,.4583333,72,22,0,18
-.1546632,.5454546,.4583333,72,22,0,18
.3065732,.5454546,.4583333,72,22,1,18
.8936014,.5454546,.4583333,72,22,0,18
-.4691426,.5454546,.4583333,72,22,0,18
-.4691426,.5454546,.4583333,72,22,0,18
.3065732,.5454546,.4583333,72,22,1,18
-.5530037,.5454546,.4583333,72,22,1,18
.7258791,.5454546,.4583333,72,22,1,18
-.4691426,.2941177,.4583333,72,17,1,19
-2.125401,.2941177,.4583333,72,17,0,19
-.2594897,.2941177,.4583333,72,17,0,19
1.061324,.2941177,.4583333,72,17,0,19
-.6578302,.2941177,.4583333,72,17,0,19
-1.810921,.2941177,.4583333,72,17,0,19
.075955,.2941177,.4583333,72,17,1,19
1.899935,.2941177,.4583333,72,17,0,19
.8936014,.2941177,.4583333,72,17,0,19
-.5530037,.2941177,.4583333,72,17,0,19
-.0288714,.2941177,.4583333,72,17,0,19
.1807815,.2941177,.4583333,72,17,0,19
-.0288714,.2941177,.4583333,72,17,1,19
.432365,.2941177,.4583333,72,17,1,19
1.291942,.2941177,.4583333,72,17,0,19
.3065732,.2941177,.4583333,72,17,1,19
-.2594897,.2941177,.4583333,72,17,0,19
-.1546632,.5185185,.4528302,106,27,0,20
-.0288714,.5185185,.4528302,106,27,1,20
.5791221,.5185185,.4528302,106,27,0,20
-.0288714,.5185185,.4528302,106,27,0,20
.3065732,.5185185,.4528302,106,27,0,20
.075955,.5185185,.4528302,106,27,0,20
.5791221,.5185185,.4528302,106,27,1,20
-.1546632,.5185185,.4528302,106,27,0,20
.075955,.5185185,.4528302,106,27,0,20
.3065732,.5185185,.4528302,106,27,1,20
-.2594897,.5185185,.4528302,106,27,1,20
.3065732,.5185185,.4528302,106,27,0,20
-.4691426,.5185185,.4528302,106,27,0,20
-.2594897,.5185185,.4528302,106,27,0,20
-.2594897,.5185185,.4528302,106,27,1,20
-.3643161,.5185185,.4528302,106,27,1,20
-1.077136,.5185185,.4528302,106,27,1,20
-.3643161,.5185185,.4528302,106,27,1,20
.075955,.5185185,.4528302,106,27,1,20
-.8674831,.5185185,.4528302,106,27,0,20
-.9723096,.5185185,.4528302,106,27,1,20
.3065732,.5185185,.4528302,106,27,1,20
.075955,.5185185,.4528302,106,27,1,20
-.4691426,.5185185,.4528302,106,27,1,20
-.4691426,.5185185,.4528302,106,27,1,20
-.0288714,.5625,.4528302,106,16,0,21
-.4691426,.5625,.4528302,106,16,1,21
.5791221,.5625,.4528302,106,16,1,21
-.1546632,.5625,.4528302,106,16,0,21
1.543525,.5625,.4528302,106,16,1,21
.432365,.5625,.4528302,106,16,0,21
-.0288714,.5625,.4528302,106,16,0,21
-.3643161,.5625,.4528302,106,16,1,21
-.0288714,.5625,.4528302,106,16,1,21
-.0288714,.5625,.4528302,106,16,1,21
-.0288714,.5625,.4528302,106,16,0,21
1.899935,.5625,.4528302,106,16,0,21
.7258791,.5625,.4528302,106,16,1,21
.8936014,.5625,.4528302,106,16,1,21
-.5530037,.5625,.4528302,106,16,0,21
.8936014,.5625,.4528302,106,16,1,21
1.291942,.375,.4528302,106,24,1,22
.075955,.375,.4528302,106,24,0,22
.7258791,.375,.4528302,106,24,0,22
.432365,.375,.4528302,106,24,0,22
-.1546632,.375,.4528302,106,24,1,22
.7258791,.375,.4528302,106,24,0,22
1.543525,.375,.4528302,106,24,0,22
1.543525,.375,.4528302,106,24,1,22
1.291942,.375,.4528302,106,24,0,22
-.0288714,.375,.4528302,106,24,0,22
1.899935,.375,.4528302,106,24,0,22
.1807815,.375,.4528302,106,24,1,22
-.3643161,.375,.4528302,106,24,1,22
1.899935,.375,.4528302,106,24,1,22
-.1546632,.375,.4528302,106,24,0,22
.075955,.375,.4528302,106,24,1,22
.3065732,.375,.4528302,106,24,0,22
.3065732,.375,.4528302,106,24,1,22
-.0288714,.375,.4528302,106,24,0,22
.5791221,.3529412,.4528302,106,17,1,23
1.543525,.3529412,.4528302,106,17,0,23
2.445033,.3529412,.4528302,106,17,0,23
1.061324,.3529412,.4528302,106,17,0,23
.8936014,.3529412,.4528302,106,17,1,23
.075955,.3529412,.4528302,106,17,0,23
1.899935,.3529412,.4528302,106,17,0,23
.7258791,.3529412,.4528302,106,17,1,23
.8936014,.3529412,.4528302,106,17,0,23
.3065732,.3529412,.4528302,106,17,0,23
1.061324,.3529412,.4528302,106,17,1,23
.3065732,.3529412,.4528302,106,17,1,23
2.445033,.3529412,.4528302,106,17,0,23
1.543525,.3529412,.4528302,106,17,0,23
1.543525,.3529412,.4528302,106,17,0,23
-.3643161,.3529412,.4528302,106,17,1,23
1.061324,.4545455,.4528302,106,22,1,24
.1807815,.4545455,.4528302,106,22,0,24
-1.538373,.4545455,.4528302,106,22,0,24
1.291942,.4545455,.4528302,106,22,1,24
.7258791,.4545455,.4528302,106,22,0,24
.3065732,.4545455,.4528302,106,22,1,24
-.4691426,.4545455,.4528302,106,22,0,24
.5791221,.4545455,.4528302,106,22,0,24
-.2594897,.4545455,.4528302,106,22,0,24
1.543525,.4545455,.4528302,106,22,1,24
.8936014,.4545455,.4528302,106,22,0,24
2.445033,.4545455,.4528302,106,22,1,24
1.291942,.4545455,.4528302,106,22,1,24
.1807815,.4545455,.4528302,106,22,1,24
1.899935,.4545455,.4528302,106,22,0,24
1.061324,.4545455,.4528302,106,22,1,24
.3065732,.4545455,.4528302,106,22,1,24
.3065732,.4545455,.4528302,106,22,0,24
.1807815,.4545455,.4528302,106,22,0,24
-.4691426,.4545455,.4528302,106,22,0,24
1.291942,.4545455,.4528302,106,22,0,24
.5791221,.5,.3827161,81,16,0,25
-.6578302,.5,.3827161,81,16,0,25
-.5530037,.5,.3827161,81,16,0,25
-.3643161,.5,.3827161,81,16,0,25
.1807815,.5,.3827161,81,16,1,25
-.8674831,.5,.3827161,81,16,1,25
.075955,.5,.3827161,81,16,1,25
.5791221,.5,.3827161,81,16,1,25
-.3643161,.5,.3827161,81,16,1,25
-1.181962,.5,.3827161,81,16,0,25
.432365,.5,.3827161,81,16,0,25
-1.538373,.5,.3827161,81,16,1,25
.7258791,.5,.3827161,81,16,0,25
-.4691426,.375,.3827161,81,24,0,26
.5791221,.375,.3827161,81,24,0,26
-1.077136,.375,.3827161,81,24,1,26
-.2594897,.375,.3827161,81,24,0,26
.1807815,.375,.3827161,81,24,0,26
-.6578302,.375,.3827161,81,24,0,26
-.2594897,.375,.3827161,81,24,1,26
.1807815,.375,.3827161,81,24,0,26
-.0288714,.375,.3827161,81,24,0,26
2.445033,.375,.3827161,81,24,1,26
-.2594897,.375,.3827161,81,24,1,26
-.5530037,.375,.3827161,81,24,1,26
-.3643161,.375,.3827161,81,24,0,26
-.7626567,.375,.3827161,81,24,0,26
.8936014,.375,.3827161,81,24,0,26
-1.412581,.375,.3827161,81,24,1,26
-.7626567,.375,.3827161,81,24,1,26
-.7626567,.375,.3827161,81,24,0,26
-1.181962,.375,.3827161,81,24,0,26
.075955,.375,.3827161,81,24,1,26
-1.307754,.375,.3827161,81,24,0,26
.075955,.375,.3827161,81,24,1,26
.7258791,.375,.3827161,81,24,0,26
1.543525,.375,.3827161,81,24,0,26
.5791221,.375,.3827161,81,24,0,27
-.0288714,.375,.3827161,81,24,0,27
.7258791,.375,.3827161,81,24,0,27
.075955,.375,.3827161,81,24,1,27
-.6578302,.375,.3827161,81,24,0,27
-.3643161,.375,.3827161,81,24,0,27
-1.412581,.375,.3827161,81,24,1,27
-.7626567,.375,.3827161,81,24,0,27
.075955,.375,.3827161,81,24,0,27
-1.538373,.375,.3827161,81,24,1,27
1.061324,.375,.3827161,81,24,0,27
-.2594897,.375,.3827161,81,24,1,27
.1807815,.375,.3827161,81,24,0,27
-1.181962,.375,.3827161,81,24,1,27
.3065732,.375,.3827161,81,24,1,27
-.0288714,.375,.3827161,81,24,0,27
.5791221,.375,.3827161,81,24,1,27
.3065732,.375,.3827161,81,24,0,27
.3065732,.375,.3827161,81,24,0,27
-1.307754,.375,.3827161,81,24,0,27
-.8674831,.375,.3827161,81,24,1,27
-.5530037,.375,.3827161,81,24,0,27
-1.412581,.375,.3827161,81,24,1,27
.3065732,.375,.3827161,81,24,0,27
-.3643161,.2941177,.3827161,81,17,0,28
-1.181962,.2941177,.3827161,81,17,0,28
-.0288714,.2941177,.3827161,81,17,0,28
-.6578302,.2941177,.3827161,81,17,1,28
-.6578302,.2941177,.3827161,81,17,0,28
.1807815,.2941177,.3827161,81,17,0,28
1.061324,.2941177,.3827161,81,17,0,28
-.0288714,.2941177,.3827161,81,17,1,28
.075955,.2941177,.3827161,81,17,0,28
1.061324,.2941177,.3827161,81,17,0,28
-.4691426,.2941177,.3827161,81,17,1,28
-.4691426,.2941177,.3827161,81,17,0,28
.8936014,.2941177,.3827161,81,17,1,28
-.7626567,.2941177,.3827161,81,17,0,28
-.9723096,.2941177,.3827161,81,17,0,28
-.5530037,.2941177,.3827161,81,17,1,28
1.061324,.2941177,.3827161,81,17,0,28
.5791221,.5909091,.4700855,117,22,1,29
-.8674831,.5909091,.4700855,117,22,1,29
-.6578302,.5909091,.4700855,117,22,1,29
-.1546632,.5909091,.4700855,117,22,1,29
1.543525,.5909091,.4700855,117,22,0,29
-.4691426,.5909091,.4700855,117,22,0,29
-.6578302,.5909091,.4700855,117,22,0,29
-1.538373,.5909091,.4700855,117,22,1,29
1.291942,.5909091,.4700855,117,22,1,29
.1807815,.5909091,.4700855,117,22,1,29
1.061324,.5909091,.4700855,117,22,0,29
-.0288714,.5909091,.4700855,117,22,0,29
.7258791,.5909091,.4700855,117,22,1,29
.432365,.5909091,.4700855,117,22,1,29
.432365,.5909091,.4700855,117,22,0,29
1.899935,.5909091,.4700855,117,22,1,29
-1.181962,.5909091,.4700855,117,22,1,29
.432365,.5909091,.4700855,117,22,1,29
.8936014,.5909091,.4700855,117,22,0,29
1.061324,.5909091,.4700855,117,22,0,29
.1807815,.5909091,.4700855,117,22,1,29
1.061324,.5909091,.4700855,117,22,0,29
.075955,.4347826,.4700855,117,23,1,30
1.543525,.4347826,.4700855,117,23,0,30
-.0288714,.4347826,.4700855,117,23,0,30
-.7626567,.4347826,.4700855,117,23,0,30
.1807815,.4347826,.4700855,117,23,0,30
.5791221,.4347826,.4700855,117,23,0,30
-.4691426,.4347826,.4700855,117,23,0,30
-.1546632,.4347826,.4700855,117,23,0,30
-1.538373,.4347826,.4700855,117,23,0,30
.075955,.4347826,.4700855,117,23,1,30
-.7626567,.4347826,.4700855,117,23,1,30
-.9723096,.4347826,.4700855,117,23,0,30
.075955,.4347826,.4700855,117,23,1,30
-.3643161,.4347826,.4700855,117,23,0,30
1.291942,.4347826,.4700855,117,23,0,30
1.899935,.4347826,.4700855,117,23,1,30
1.899935,.4347826,.4700855,117,23,1,30
-.8674831,.4347826,.4700855,117,23,0,30
.1807815,.4347826,.4700855,117,23,1,30
-.5530037,.4347826,.4700855,117,23,1,30
-1.412581,.4347826,.4700855,117,23,0,30
.075955,.4347826,.4700855,117,23,1,30
1.899935,.5,.4700855,117,14,1,31
1.061324,.5,.4700855,117,14,0,31
2.9482,.5,.4700855,117,14,0,31
-.3643161,.5,.4700855,117,14,0,31
2.9482,.5,.4700855,117,14,0,31
1.543525,.5,.4700855,117,14,1,31
.8936014,.5,.4700855,117,14,1,31
1.899935,.5,.4700855,117,14,0,31
-.5530037,.5,.4700855,117,14,0,31
1.291942,.5,.4700855,117,14,1,31
-.2594897,.5,.4700855,117,14,1,31
2.445033,.5,.4700855,117,14,0,31
1.899935,.5,.4700855,117,14,1,31
.8936014,.4285714,.4700855,117,21,0,32
-.6578302,.4285714,.4700855,117,21,0,32
.8936014,.4285714,.4700855,117,21,1,32
-1.957678,.4285714,.4700855,117,21,0,32
-1.181962,.4285714,.4700855,117,21,1,32
1.543525,.4285714,.4700855,117,21,0,32
.075955,.4285714,.4700855,117,21,1,32
1.543525,.4285714,.4700855,117,21,0,32
.075955,.4285714,.4700855,117,21,1,32
.8936014,.4285714,.4700855,117,21,1,32
-.8674831,.4285714,.4700855,117,21,0,32
-.6578302,.4285714,.4700855,117,21,0,32
.8936014,.4285714,.4700855,117,21,1,32
-1.077136,.4285714,.4700855,117,21,0,32
.075955,.4285714,.4700855,117,21,0,32
1.291942,.4285714,.4700855,117,21,1,32
1.061324,.4285714,.4700855,117,21,1,32
-.7626567,.4285714,.4700855,117,21,0,32
-.1546632,.4285714,.4700855,117,21,0,32
.432365,.4285714,.4700855,117,21,0,32
-1.181962,.4782609,.4700855,117,23,0,33
1.061324,.4782609,.4700855,117,23,1,33
2.445033,.4782609,.4700855,117,23,1,33
.432365,.4782609,.4700855,117,23,1,33
.7258791,.4782609,.4700855,117,23,1,33
.432365,.4782609,.4700855,117,23,0,33
-.6578302,.4782609,.4700855,117,23,1,33
-.7626567,.4782609,.4700855,117,23,0,33
.5791221,.4782609,.4700855,117,23,0,33
.5791221,.4782609,.4700855,117,23,0,33
-.1546632,.4782609,.4700855,117,23,1,33
1.061324,.4782609,.4700855,117,23,1,33
-1.181962,.4782609,.4700855,117,23,0,33
